BscScan Link,Transaction Hash,From Address,To Address,Amount,Block Number,Transaction Index,From Address Dollar Value Change,To Address Dollar Value Change,Comment
https://bscscan.com/tx/0x1b6b501d78d1380e72a983dfd04b99ef7cd25b44f87b49833a9822cfc3ff0604,0x1b6b501d78d1380e72a983dfd04b99ef7cd25b44f87b49833a9822cfc3ff0604,0x261be9ce37493d51686a89c4053116804e5502d0,0x0f8c95890b7bdecfae7990bf32f22120111e0b44,417331319000000000000,22732502,129,-247177319947898078094,0,Sold USD+
https://bscscan.com/tx/0x1b6b501d78d1380e72a983dfd04b99ef7cd25b44f87b49833a9822cfc3ff0604,0x1b6b501d78d1380e72a983dfd04b99ef7cd25b44f87b49833a9822cfc3ff0604,0x0f8c95890b7bdecfae7990bf32f22120111e0b44,0x26bff40cdd8db07e9a5341fcdbac29926beefa71,208665000000000000,22732502,129,0,208665000000000000,Removed USD+ liquidity
https://bscscan.com/tx/0x76ebd43dbdd0c3d6f20e21e67e303ecf498e729b6768942349d0632f1d6c7502,0x76ebd43dbdd0c3d6f20e21e67e303ecf498e729b6768942349d0632f1d6c7502,0xd02364b9ee5f21c5cf4e346c093e8ccde32f57c0,0x0fe6cf7a2687c5bddf302c5ccea901ba0bf71816,1162687732000000000000,22732582,35,-551810672288345263812,0,Sold USD+
https://bscscan.com/tx/0x76ebd43dbdd0c3d6f20e21e67e303ecf498e729b6768942349d0632f1d6c7502,0x76ebd43dbdd0c3d6f20e21e67e303ecf498e729b6768942349d0632f1d6c7502,0x0fe6cf7a2687c5bddf302c5ccea901ba0bf71816,0xc80321a70f3aa6c82cf2c9c8af2d46666bc4846d,116268000000000000,22732582,35,0,116268000000000000,Removed USD+ liquidity
https://bscscan.com/tx/0x9e642c504336e37be51f5f90df9ebebec8f1db5b13a135ae865172b9b265fdcc,0x9e642c504336e37be51f5f90df9ebebec8f1db5b13a135ae865172b9b265fdcc,0x0fe6cf7a2687c5bddf302c5ccea901ba0bf71816,0xec30da6361905b8f3e4a93513d937db992301276,188445718000000000000,22732583,18,0,0,Internal LP transfer
https://bscscan.com/tx/0x9e642c504336e37be51f5f90df9ebebec8f1db5b13a135ae865172b9b265fdcc,0x9e642c504336e37be51f5f90df9ebebec8f1db5b13a135ae865172b9b265fdcc,0xec30da6361905b8f3e4a93513d937db992301276,0xac4e179feb07548ddcfbd347c8dfa332c2a4ceb6,94222000000000000,22732583,18,0,94222000000000000,Removed USD+ liquidity
https://bscscan.com/tx/0x2af3cfc7b84eff118e30b5e098e66c9ff6b4a1649ec7027f78f848f704df3b0f,0x2af3cfc7b84eff118e30b5e098e66c9ff6b4a1649ec7027f78f848f704df3b0f,0x046c075379898809e0c693fa18235794c208a975,0x0fe6cf7a2687c5bddf302c5ccea901ba0bf71816,2691896331000000000000,22732747,165,-1222460918140546432497,0,Sold USD+
https://bscscan.com/tx/0x2af3cfc7b84eff118e30b5e098e66c9ff6b4a1649ec7027f78f848f704df3b0f,0x2af3cfc7b84eff118e30b5e098e66c9ff6b4a1649ec7027f78f848f704df3b0f,0x0fe6cf7a2687c5bddf302c5ccea901ba0bf71816,0xc80321a70f3aa6c82cf2c9c8af2d46666bc4846d,269189000000000000,22732747,165,0,269189000000000000,Removed USD+ liquidity
https://bscscan.com/tx/0xea8bec3440da0ab9fb72cbee1122a0b9b42620190ec0531d707d4dc58c5c3d10,0xea8bec3440da0ab9fb72cbee1122a0b9b42620190ec0531d707d4dc58c5c3d10,0x0fe6cf7a2687c5bddf302c5ccea901ba0bf71816,0xec30da6361905b8f3e4a93513d937db992301276,631674296000000000000,22732747,170,0,0,Internal LP transfer
https://bscscan.com/tx/0xea8bec3440da0ab9fb72cbee1122a0b9b42620190ec0531d707d4dc58c5c3d10,0xea8bec3440da0ab9fb72cbee1122a0b9b42620190ec0531d707d4dc58c5c3d10,0xec30da6361905b8f3e4a93513d937db992301276,0xac4e179feb07548ddcfbd347c8dfa332c2a4ceb6,315837000000000000,22732747,170,0,315837000000000000,Removed USD+ liquidity
