Address,Amount
0xfb701fc05365be1f2ad3ff81f68e4807d3be5a93,$53.87
0x47d574e85df71a059ec442cad8dee2224f58b0d8,$0.62
0xf6c847011cf1581e53a330afa81e3eb70616be1f,$854.19
0xee48afa1c2f69b4d02a4b509374d01ca650bb983,$232.68
0x09e7cec5694a1adb67e234406a6411100528ffc7,$0.04
0xf29961bb0704a9e11332504c4ae0fed8edca6da5,$5.99
0x7f85e5ce67b7ff4808af11bf14a86b8af81c0f19,$314.36
0xc4bf96568ace8c2f29df567a956dd30e5b052d01,$64.15
0x8e4b1cfa2e852304c9f15b756dfb98eb29ee58a2,$4.53
0xac95a33837c491972983dd72ef50e444f93739b9,$0.61
0x7d02044442bfcf9c484201b35779a32701f34aa8,$32.59
0x019ba377234d9ee55ab512410a1cd8d33a599c1d,$0.0
0x9fb7ed50fc5bace2e7e1101e8fd6805c9a678c84,$3.29
0xd5230744517ca07f0f2b6b2b708493882296d56f,$0.0
0x07d8b183c428a92d193ff068442dd74944e1fe79,$426.77
0xc6f1b92db5c7b82c3bc34c80706473f7f63db3dd,$86.84
0xe0148d0431c2808c4c4361eea0784dc127ffd172,$0.0
0x4077895a30d974d97b332fb08fd556c8fd9c965e,$2.34
0x2756f3dc96b8cae209cdefbcd0a02c53cef148d4,$32.4
0xee1c8dbfbf958484c6a4571f5fb7b99b74a54aa7,$0.59
0x153e593445adee99423f9624c81c3dae7bb4dd9d,$4328.03
0xe80207675d5ef1a902622fc4a99ab9fb07ce4ee7,$262.97
0x57e1af1b909545a7133f40414ce0156ea5f0a638,$955.76
0xb413a1c0cd909397f5238354bf65d75a05eee3a4,$2.13
0xa2feb304e0cb055406864d5960a18a04e7cf2633,$957.76
0xd4a204024a2954f6ed4763bcaff83102c99d6df9,$853.54
0x6a227c0f740b9a1fdb5dfc49000435046c820d44,$872.82
0x161542a8d797fcd07d2c26511d63dd27cdb79e01,$3.22
0xfe008049ac2d185c4c7ead09af460fff170bf60a,$0.0
0x9c9f6d4d9c46dd3f237906a73f46f432ded7398f,$0.0
0x9c64d891b6d141c736cb9ea71ed9f8ea567a36c3,$315.69
0xd4c1b35a3fe3c7828ba0d3b2715327ad1cada2a7,$1104.33
0x802ec985fd4dfafeee70f228fbc99709f752b73e,$0.85
0xfa33b570e6dd21802d5633ec03b22d2ab2956bd4,$852.38
0x72801f86fe159fa88be8f3a14bb1747f593e3dbf,$10.68
0xbd60240987ab9754baf7f2c58b89a6d0ea4f003b,$134.59
0x10c5af029f42579da7cdcaee1ef31aea624f12fe,$3130.22
0xf1715d2db359f6212aac999e171f8597a62aa2f3,$0.18
0x2df17455b96dde3618fd6b1c3a9aa06d6ab89347,$0.35
0xa5224d7bbe8612b4e2c922434c6fc993ad421de8,$78.57
0xbbbbb8c4364ec2ce52c59d2ed3e56f307e529a94,$6.66
0x6ab643ec38cae722127642fdca4925ecbd9a1401,$19.31
0x0b2b7216a9f40b0bec45ccb9b5a2a4ba50165e9e,$422.45
0x7a4e47a4e99e7d5eb9bb5a619e4475d1dc7b3ab9,$1687.12
0x0f228805c03a693aa964a791e0b2e2c6e6c6513f,$684.28
