Address,Amount
0xfeff18971b0e49f503586980218c835dca346b8f,1002674000000000000
0xcacd0572faeea161bc7e081e0a0d459ef9c50bbf,1000000000000
0x48e656faa91f50b8539b679db48feb10b5529d87,417128000000000000
0x466719a736a82041ab7a15bf564b498d1a52e181,10594435000000000000
0x3c69f27ffa0c9fc426a664d1aa51200ab52b6f17,6101000000000000
0xe2e3fce1b7712c0faba08e72990b5094c666ef5c,622085648000000000000
0x52dfdf369f6b4fde187a9d54561cab8f9574c0d3,307149877000000000000
0xd9f3d4bb742af9feb8be2f629572e6baf09cc5cf,107670000000000000
0x6a4f6697c6f42c2b52e39560a664892045a89af1,306452022000000000000
0xa3ff8b3ec606ae0c00676ec682d6afdc7d708312,6663000000000000
0xb9cb4d9484e0d78ae52deb37c5e38988b70bd9c1,1000000000000
0xe319450100afa5d5e3cf7da20390fd473a328b56,1000000000000
0x4dd1b9f770ea4b115e31f32c88fbebb92461a3df,1000000000000
0x620bd9e7648ff5cc94f7f0840b9874652d7df811,25414155000000000000
0x617616dd22233b07d426dfc946f017b6128d2aaa,1000000000000
0x08f2184e570899b33591c6e78c07cd20a76fe1fc,31815636000000000000
0x9cdf1cd87b904e3d1991a4cdc734c0b807412834,1000000000000
0x22a4bdef92a469a29ac9387f1a28c6ea5aa52ddb,11266130000000000000
0xc80321a70f3aa6c82cf2c9c8af2d46666bc4846d,1105749000000000000
0x99a4094b34586c24902f4ce5e181053bb2923ffb,1000000000000
0x7cf38d0f09f89016955881336893250230cffd65,1000000000000
0xac4e179feb07548ddcfbd347c8dfa332c2a4ceb6,4514076000000000000
0x7f7f1c49ce26004e926035abc498c514251d0615,1200907559000000000000
0x87b44af5a4cba60ee3076cea029d1f705ea21f66,1000000000000
0x0da683cacdbaeb70d7b2592e460a8daecd9ba8c1,713227446000000000000
0x126a54ec38e6cc4175f7587262d8129009339d56,19194501000000000000
0xd2b1d4ede6fe2f1e0a27bc70117ac08282294841,76554014000000000000
0x81d5813c8f90641b2ec51f74efc2c60a05978b7e,692685059000000000000
0x811eb43826cb1c8f83400449f967ddc507360728,2414000000000000
0x17b1d9a1a8f0363e04bccdf2839cb107b2297774,3845402000000000000
0x089e6d8721a5fa330ff5dd63033b940fa1ddd637,1001250000000000000
0x57cd573fe4e2e9e74360b711d530cfe04db9f835,546000000000000
0x9f012b153929ecc244c156c09f22f72569315fd9,605938439000000000000
0x2e60fde232979d6dd223845f916962382a80e4e5,629655000000000000
0x450d917214101a4e3f5af7ac0eb1425afa20791a,1000000000000
0x029b63e8ad652e4e4e2efe80da2279c26325716b,2034899000000000000
0xf6882d198c8292dd204e48444c775a037aed8436,110307696000000000000
0x5a27c4016a1ccbcfb55a24de25a33220eb45245f,12109662000000000000
0xf329e1b7ea617eb1a4b09ad3cd5ad51a121a42f3,1406153198000000000000
0x015ac234b727105a840ec363ef92be33228b23ce,24144980000000000000
0xd6ca190274db3cb7a0b20afb3b089d98eeaa8248,669662000000000000
0x26bff40cdd8db07e9a5341fcdbac29926beefa71,1097747000000000000
0x1fc7ba83e89bb974fe2d249dfa115a868dc864e5,8590866000000000000
